prior	after smooth	after rf
-4.191566662	0.122532761	-0.048105714
-3.822975106	-0.101556507	0.457160095
-4.347973209	-0.404225769	0.117520561
-2.186576442	-0.430908722	-0.107473196
-3.347120612	-0.179121993	-0.119540022
-5.614385595	0.426992089	-0.219943547
-4.563738372	0.16111916	-0.591330782
-3.301676324	0.012219086	0.639129319
-3.213218457	-0.157370289	0.07999714
-4.220983256	0.213043106	0.173590221
-3.529165843	0.835525685	0.255623399
-1.533740395	-0.100499601	0.217780863
-3.164489268	0.899794365	0.665947274
-4.618985062	0.093334655	-0.038068558
-2.769875996	-0.10147768	0.70305721
-3.189559651	-0.659855009	0.57825986
-4.277610574	0.45317543	0.510637374
-5.522728564	0.398546243	-0.36719734
-3.182609722	-0.02861278	-0.408894681
-5.135993967	-0.337782562	-0.019420248
-4.33694999	-0.304250552	0.017648483
-4.272199429	0.75300193	0.244977868
-3.910895164	-0.217758105	-0.333815764
1.159673878	-1.115898411	0.276826595
-4.127440275	0.101988746	-0.90337323
-2.227522989	-1.536506606	0.257361411
-3.848274692	-0.687856863	0.037196014
-4.393871293	0.12752919	0.296251358
-4.175632653	0.701647954	-0.041215723
-5.456523996	-0.005151965	1.843798036
-4.563738372	2.552951126	-0.35289095
-4.404930427	-0.429191696	0.517596185
-3.783871903	-0.632617559	-0.160540337
-5.445212092	-0.502335893	0.147518079
-3.4082359	0.590072315	-0.162430876
-4.126448508	0.241757582	0.200052087
-4.418077672	-0.099079038	-0.356456446
-3.193558771	0.2727983	-0.916334618
-3.615238092	0.121434309	0.763835241
-4.824455452	-0.320083339	-0.290896594
-4.004739171	-0.392714836	-0.154558962
-4.939467894	-0.203689398	0.220034496
-3.514320915	-0.338584561	0.283710232
-3.950260563	1.703567964	0.076383524
-2.087900128	-0.515196541	-0.095886751
-4.662338571	0.205606004	-0.280807915
-4.262860655	-0.174590912	0.062163907
-2.565545642	0.125390367	0.337985531
-4.160726881	-0.228453897	0.334632582
-2.555991424	0.226454233	0.341955425
-3.399367438	0.181063677	-0.222952916
-2.512284904	-0.076383524	-0.112756631
-3.008672715	-0.622111677	-0.195240051
-4.729332535	-0.269226163	0.187809824
-5.24907674	-0.370185974	0.883549404
-2.443965137	-0.563783154	0.538058296
-4.267014195	0.135583369	-0.263454063
-2.44987127	-0.21504377	-0.344971182
-2.746669286	0.67257287	-0.59698705
-4.416208454	-0.714519353	0.738374067
-6.510999272	1.100414404	0.163442097
-3.972810368	0.06995942	-0.61021788
-4.861855231	0.950935836	0.743907952
-3.548900801	-0.908231263	0.45089139
-4.374087436	0.788415265	0.126641081
-2.921338239	0.20776368	0.189606408
-1.750026871	-0.745775257	0.326359561
-2.582036577	0.128661491	-0.655403564
-4.057455595	0.940683439	-0.248547038
-4.578090177	2.126262338	0.709275581
-4.558277962	-0.58464977	-0.029126377
-4.354756138	-1.242735192	-0.10787944
-1.192012483	0.338269892	-0.403000011
-1.588093777	-0.412623671	-2.769516777
-2.746669286	-0.689490332	-0.355973986
-3.898890567	-0.188906255	-0.098830149
-4.561829357	-2.236692196	-0.262283841
-4.163582529	-0.627638344	0.641173638
-5.087778854	0.035938236	1.116568159
-4.947344758	0.052456768	0.272085575
-3.528320424	-1.179325085	-0.355865639
-4.523478801	0.558198226	0.027854386
-3.816592672	1.911049349	2.56136921
-2.412064787	0.56082945	0.116505507
-4.670532699	0.052152723	-0.737976326
-4.645717785	-0.427100589	0.141275554
-4.259065576	4.257908299	-0.345501318
-3.087774947	-0.514565989	-0.671051344
-4.388753355	0.694309088	1.611321091
-3.533955386	2.278068301	-0.831635023
-4.064844585	1.212285326	-0.695295646
-2.730806745	-0.736748679	-0.113508868
-3.158148918	1.768523149	-0.427510706
-5.013898274	0.40577361	-0.360348127
-4.438888724	0.690183178	-0.402895969
-3.724636989	0.076695181	0.317566049
-4.997468763	-0.088290255	0.638561058
-4.056204811	-0.040412874	0.815087314
-4.613909556	-0.22634605	0.043494988
-4.312926634	-0.768844118	0.16979039
-4.81763783	0.194815238	1.300373194
-4.374147844	1.002497901	0.395198921
-5.222556871	-0.521939862	0.057853073
-3.825940642	0.542591028	0.319025131
-4.554922629	1.341169216	-0.125814847
-4.514426628	-0.215563048	0.072860163
-4.900835363	0.267570463	0.006135614
-4.900835363	0.574245235	-0.313623206
-4.367106206	0.965601802	-0.406653161
-3.853078447	-0.097855992	-0.248789886
-4.519977104	0.372872599	0.862042629
-3.56223409	0.242356772	-0.464660284
-4.793078023	1.127910328	-0.149754397
-4.70252739	-0.105898745	-0.86071663
-3.476199081	-0.656524381	-0.032151828
-4.813894132	-0.27763509	-0.10268873
-5.209991815	0.385554931	-0.036344292
-2.058656521	-1.00518347	0.052429854
-4.199012496	0.346574462	-0.146168384
-4.199012496	0.07319019	-0.078293465
-4.822950627	-1.390566572	-0.246615991
-3.481232582	0.483492767	-1.60184142
-3.347704538	-0.852071737	4.328438263
-4.488627186	-0.449398751	-1.936967552
-3.989247552	-1.232555025	-0.381694225
-4.142254666	0.114830415	-0.393654644
-4.238912182	-0.702481915	0.11474685
-4.363769684	-0.473480957	-0.260473257
-3.492850572	7.148561842	-0.412591253
-4.114054681	-0.648730402	0.065362093
-4.274567382	-0.707348188	0.470638152
-4.497806944	0.477105325	0.207083792
-3.840122539	-0.878458827	0.270952282
-4.899565641	-0.511120507	0.577647325
-2.500464165	-0.021787364	-0.019648547
-4.376361881	-0.823616766	-0.317551154
-4.547039276	0.188811693	0.217291417
-4.624713006	-0.42750249	1.226207353
-2.128335791	-0.703189191	-0.376834455
-2.883188271	0.170199658	0.173463479
-3.494661163	0.170287412	0.444948072
-4.838938489	-1.582373547	-0.792845136
-3.557394385	0.339866062	0.111237018
-3.840122539	0.789557905	-0.145056744
-3.881607859	-0.885261894	0.018728625
-3.923507014	1.327892841	-0.630530384
-2.477589217	1.006430162	0.304977068
-3.864909972	-0.252888797	-0.599316008
-2.679014709	-0.318386629	-0.256132533
-4.414916818	0.195989031	-0.16017831
-3.46419095	-0.230986378	0.281130466
-3.607105316	-0.262200753	-0.044651146
-3.563672857	0.057542843	-0.282155182
-4.560898342	-0.305900879	-0.016475287
-4.549139849	-0.091069345	0.205778322
-4.434490782	-0.486942062	-0.210498259
-4.650397579	2.105487747	1.252253583
-3.190916362	0.944052797	0.107651579
-3.810268505	-0.628938234	0.054618522
-5.430843026	-0.385250344	0.787142154
-3.689721608	-0.450324516	0.546545161
-4.088615219	0.729043199	1.339855839
-2.66003665	0.57408616	0.395445305
-3.598528538	0.081542094	0.506455804
-1.804644318	0.732030739	0.349334018
-4.111645381	0.333779858	-0.005497738
-2.039491454	0.317297612	0.450739068
-4.088928028	0.486332559	-0.264037507
-2.821933534	0.657964921	0.474161833
-4.474423286	0.093658098	0.193529128
-4.400797284	-0.183056315	0.246518198
-4.281244769	-0.335362032	-0.238582147
-4.239460201	-0.136269951	0.092596299
-3.634048794	0.019319818	-0.046543294
-4.470770631	-0.179285962	-0.520244213
-1.739384737	-0.157362693	-0.034249549
-3.164645692	0.005446841	-0.256289569
-3.094949011	-0.366528443	0.234922495
-5.182633012	0.621041529	-0.015691403
-4.012709034	-0.496618468	0.305202984
-3.346229442	0.117466052	-0.898962071
-4.954779695	-0.156631888	0.596866731
-2.112473714	-0.710106634	-0.192765488
